Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
ASE7,In02,100,0,0,0,0,0
ASE7,In03,100,0,0,0,0,0
ASE7,In04,100,0,0,0,0,0
ASE7,In05,100,0,0,0,0,0
ASE7,In06,100,0,0,0,0,0
ASE7,In07,100,0,0,0,0,0
ASE7,In08,100,0,0,0,0,0
ASE7,In09,100,0,0,0,0,0
ASE7,In10,100,0,0,0,0,0
ASE7,In11,100,0,0,0,0,0
ASE7,In12,100,0,0,0,0,0
ASE7,In13,100,0,0,0,0,0
ASE7,In14,100,0,0,0,0,0
ASE7,In15,100,0,0,0,0,0
ASE7,In17,100,0,0,0,0,0
ASE7,In19,100,0,0,0,0,0
ASE7,In20,100,0,0,0,0,0
ASE7,In21,100,0,0,0,0,0
ASE7,In22,100,0,0,0,0,0
ASE7,In23,100,0,0,0,0,0
ASE7,In24,100,0,0,0,0,0
ASE7,In25,100,0,0,0,0,0
ASE7,In26,100,0,0,0,0,0
ASE7,In27,100,0,0,0,0,0
ASE7,In28,100,0,0,0,0,0
ASE7,In29,100,0,0,0,0,0
ASE7,In30,100,0,0,0,0,0
ASE7,In32,100,0,0,0,0,0
ASE7,In33,100,0,0,0,0,0
ASE7,In34,100,0,0,0,0,0
ASE7,In35,100,0,0,0,0,0
ASE7,In36,100,0,0,0,0,0
ASE7,In37,100,0,0,0,0,0
ASE7,In38,100,0,0,0,0,0
ASE7,In39,100,0,0,0,0,0
ASE7,In40,100,0,0,0,0,0
ASE7,In41,100,0,0,0,0,0
ASE7,In42,100,0,0,0,0,0
ASE7,In43,100,0,0,0,0,0
ASE8,In01,100,0,0,0,0,0
ASE8,In02,100,0,0,0,0,0
ASE8,In03,100,0,0,0,0,0
ASE8,In04,100,0,0,0,0,0
ASE8,In05,100,0,0,0,0,0
ASE8,In06,100,0,0,0,0,0
ASE8,In10,100,0,0,0,0,0
ASE8,In11,100,0,0,0,0,0
ASE8,In12,100,0,0,0,0,0
ASE8,In13,100,0,0,0,0,0
ASE8,In14,100,0,0,0,0,0
ASE8,In15,100,0,0,0,0,0
ASE8,In17,100,0,0,0,0,0
ASE8,In22,100,0,0,0,0,0
ASE8,In23,100,0,0,0,0,0
ASE8,In24,100,0,0,0,0,0
ASE8,In35,100,0,0,0,0,0
ASE8,In36,100,0,0,0,0,0
ASE8,In37,100,0,0,0,0,0
ASE8,In38,100,0,0,0,0,0
ASE8,In39,100,0,0,0,0,0
ASE8,In40,100,0,0,0,0,0
ASE9,In01,100,0,0,0,0,0
ASE9,In02,100,0,0,0,0,0
ASE9,In03,100,0,0,0,0,0
ASE9,In04,100,0,0,0,0,0
ASE9,In05,100,0,0,0,0,0
ASE9,In06,100,0,0,0,0,0
ASE9,In07,100,0,0,0,0,0
ASE9,In08,100,0,0,0,0,0
ASE9,In09,100,0,0,0,0,0
ASE9,In10,100,0,0,0,0,0
ASE9,In11,100,0,0,0,0,0
ASE9,In12,100,0,0,0,0,0
ASE9,In13,100,0,0,0,0,0
ASE9,In14,100,0,0,0,0,0
ASE9,In15,100,0,0,0,0,0
ASE9,In16,100,0,0,0,0,0
ASE9,In17,100,0,0,0,0,0
ASE9,In18,100,0,0,0,0,0
ASE9,In19,100,0,0,0,0,0
ASE9,In20,100,0,0,0,0,0
ASE9,In21,100,0,0,0,0,0
ASE9,In22,100,0,0,0,0,0
ASE9,In23,100,0,0,0,0,0
ASE9,In24,100,0,0,0,0,0
ASE9,In25,100,0,0,0,0,0
ASE9,In26,100,0,0,0,0,0
ASE9,In27,100,0,0,0,0,0
ASE9,In28,100,0,0,0,0,0
ASE9,In29,100,0,0,0,0,0
ASE9,In30,100,0,0,0,0,0
ASE9,In31,100,0,0,0,0,0
ASE9,In32,100,0,0,0,0,0
ASE9,In33,100,0,0,0,0,0
ASE9,In34,100,0,0,0,0,0
ASE9,In35,100,0,0,0,0,0
ASE9,In36,100,0,0,0,0,0
ASE9,In37,100,0,0,0,0,0
ASE9,In38,100,0,0,0,0,0
ASE9,In39,100,0,0,0,0,0
ASE9,In40,100,0,0,0,0,0
ASE9,In41,100,0,0,0,0,0
ASE9,In42,100,0,0,0,0,0
ASE9,In43,100,0,0,0,0,0
ASE9,In44,100,0,0,0,0,0
ASE9,In45,100,0,0,0,0,0
ASE9,In46,100,0,0,0,0,0
